时间,模型,用时,提示,补全,花费,详情
2026-04-24 19:01:39,claude-sonnet-4-6,3,569,241,81162,
2026-04-24 19:01:44,claude-sonnet-4-6,4,5126,202,95784,
2026-04-24 19:01:47,claude-sonnet-4-6,2,4892,164,109872,
2026-04-24 19:01:58,claude-sonnet-4-6,10,234,1218,126300,
2026-04-24 19:02:04,claude-sonnet-4-6,4,1302,164,114270,
2026-04-24 19:02:15,claude-sonnet-4-6,10,228,1177,130083,
2026-04-24 19:02:20,claude-sonnet-4-6,3,1255,164,118545,
2026-04-24 19:02:27,claude-sonnet-4-6,6,245,649,126438,
2026-04-24 19:02:32,claude-sonnet-4-6,3,745,164,121239,
2026-04-24 19:02:37,claude-sonnet-4-6,4,247,193,122292,
2026-04-24 19:02:42,claude-sonnet-4-6,3,483,163,122550,
2026-04-24 19:02:47,claude-sonnet-4-6,4,240,282,124950,
2026-04-24 19:03:08,claude-sonnet-4-6,3,346,70,122664,
2026-04-24 19:03:13,claude-sonnet-4-6,4,10832,88,155352,
2026-04-24 19:03:52,claude-sonnet-4-6,38,146,5377,235077,
2026-04-24 19:03:57,claude-sonnet-4-6,3,5432,88,171984,
2026-04-24 19:04:25,claude-sonnet-4-6,27,186,3912,229734,
2026-04-24 19:04:30,claude-sonnet-4-6,3,4006,87,184203,
2026-04-24 19:04:34,claude-sonnet-4-6,3,167,224,186645,
2026-04-24 19:05:52,claude-sonnet-4-6,7,699,42,185895,
2026-04-24 19:05:58,claude-sonnet-4-6,4,1844,146,192810,
2026-04-24 19:06:04,claude-sonnet-4-6,3,241,41,191802,
2026-04-24 19:06:11,claude-sonnet-4-6,5,1394,391,201087,
2026-04-24 19:06:17,claude-sonnet-4-6,4,483,75,197646,
2026-04-24 19:07:13,claude-sonnet-4-6,3,377,42,198177,
2026-04-24 19:07:19,claude-sonnet-4-6,5,1705,52,203271,
2026-04-24 19:07:25,claude-sonnet-4-6,5,197,215,206184,
2026-04-24 19:07:32,claude-sonnet-4-6,5,263,42,204363,
2026-04-24 19:07:46,claude-sonnet-4-6,11,1974,240,213234,
2026-04-24 19:07:54,claude-sonnet-4-6,6,337,379,216168,
2026-04-24 19:08:01,claude-sonnet-4-6,5,438,86,213036,
2026-04-24 19:09:00,claude-sonnet-4-6,6,492,374,218670,
2026-04-24 19:09:08,claude-sonnet-4-6,6,460,42,214938,
2026-04-24 19:09:14,claude-sonnet-4-6,4,919,264,220989,
2026-04-24 19:09:21,claude-sonnet-4-6,5,330,356,223290,
2026-04-24 19:09:29,claude-sonnet-4-6,5,408,81,220359,
2026-04-24 19:11:08,claude-sonnet-4-6,4,1083,63,223266,
2026-04-24 19:11:14,claude-sonnet-4-6,5,263,192,225813,
2026-04-24 19:11:21,claude-sonnet-4-6,4,381,63,225000,
2026-04-24 19:11:27,claude-sonnet-4-6,4,214,142,226644,
2026-04-24 19:11:36,claude-sonnet-4-6,6,207,135,227094,
2026-04-24 19:13:05,claude-sonnet-4-6,4,1114,63,229311,
2026-04-24 19:13:12,claude-sonnet-4-6,6,351,343,234486,
2026-04-24 19:13:18,claude-sonnet-4-6,4,417,61,231414,
2026-04-24 19:13:25,claude-sonnet-4-6,4,308,63,232269,
2026-04-24 19:13:32,claude-sonnet-4-6,5,334,351,237435,
2026-04-24 19:13:41,claude-sonnet-4-6,7,408,104,234912,
2026-04-24 19:14:20,claude-sonnet-4-6,5,148,351,238989,
2026-04-24 19:14:29,claude-sonnet-4-6,6,553,63,236268,
2026-04-24 19:14:35,claude-sonnet-4-6,5,245,176,238575,
2026-04-24 19:14:42,claude-sonnet-4-6,4,272,63,237537,
2026-04-24 19:14:50,claude-sonnet-4-6,6,338,405,243633,
2026-04-24 19:14:58,claude-sonnet-4-6,6,466,62,239832,
2026-04-24 19:15:04,claude-sonnet-4-6,5,222,246,243204,
2026-04-24 19:15:11,claude-sonnet-4-6,4,319,63,241326,
2026-04-24 19:15:17,claude-sonnet-4-6,5,275,163,243462,
2026-04-24 19:15:24,claude-sonnet-4-6,5,225,63,242580,
2026-04-24 19:15:30,claude-sonnet-4-6,5,231,188,245049,
2026-04-24 19:15:38,claude-sonnet-4-6,6,409,63,244284,
2026-04-24 19:15:46,claude-sonnet-4-6,6,352,405,250395,
2026-04-24 19:15:51,claude-sonnet-4-6,4,473,63,246588,
2026-04-24 19:15:59,claude-sonnet-4-6,7,240,163,248733,
2026-04-24 19:16:05,claude-sonnet-4-6,4,254,63,247851,
2026-04-24 19:16:11,claude-sonnet-4-6,4,299,188,250437,
2026-04-24 19:16:18,claude-sonnet-4-6,4,274,63,249255,
2026-04-24 19:16:25,claude-sonnet-4-6,6,340,405,255351,
2026-04-24 19:16:32,claude-sonnet-4-6,4,461,62,251529,
2026-04-24 19:16:39,claude-sonnet-4-6,4,224,246,254922,
2026-04-24 19:16:50,claude-sonnet-4-6,8,460,63,253461,
2026-04-24 19:16:56,claude-sonnet-4-6,5,224,163,255597,
2026-04-24 19:17:02,claude-sonnet-4-6,4,238,63,254715,
2026-04-24 19:17:09,claude-sonnet-4-6,5,437,181,257082,
2026-04-24 19:17:17,claude-sonnet-4-6,6,270,63,255963,
2026-04-24 19:17:27,claude-sonnet-4-6,6,336,405,262059,
2026-04-24 19:17:33,claude-sonnet-4-6,4,457,62,258237,
2026-04-24 19:17:40,claude-sonnet-4-6,6,214,246,261612,
2026-04-24 19:17:47,claude-sonnet-4-6,4,503,63,259734,
2026-04-24 19:17:54,claude-sonnet-4-6,5,270,163,261879,
2026-04-24 19:18:01,claude-sonnet-4-6,5,359,63,261414,
2026-04-24 19:18:06,claude-sonnet-4-6,4,237,181,263778,
2026-04-24 19:18:11,claude-sonnet-4-6,3,454,63,262659,
2026-04-24 19:18:19,claude-sonnet-4-6,6,328,401,268695,
2026-04-24 19:18:25,claude-sonnet-4-6,4,445,62,264921,
2026-04-24 19:18:35,claude-sonnet-4-6,6,272,246,268314,
2026-04-24 19:18:42,claude-sonnet-4-6,3,305,63,266436,
2026-04-24 19:18:48,claude-sonnet-4-6,4,261,163,268572,
2026-04-24 19:18:55,claude-sonnet-4-6,4,211,63,267690,
2026-04-24 19:19:02,claude-sonnet-4-6,5,218,181,270057,
2026-04-24 19:19:07,claude-sonnet-4-6,4,574,63,269355,
2026-04-24 19:19:14,claude-sonnet-4-6,5,384,405,275451,
2026-04-24 19:19:19,claude-sonnet-4-6,4,505,62,271629,
2026-04-24 19:19:27,claude-sonnet-4-6,6,262,246,275004,
2026-04-24 19:19:34,claude-sonnet-4-6,4,295,63,273126,
2026-04-24 19:19:40,claude-sonnet-4-6,5,254,163,275271,
2026-04-24 19:19:47,claude-sonnet-4-6,5,460,63,274389,
2026-04-24 19:19:53,claude-sonnet-4-6,4,210,181,276753,
2026-04-24 19:19:58,claude-sonnet-4-6,3,235,63,275634,
2026-04-24 19:20:06,claude-sonnet-4-6,6,365,401,281670,
2026-04-24 19:20:14,claude-sonnet-4-6,6,621,62,278313,
2026-04-24 19:20:21,claude-sonnet-4-6,6,256,246,281706,
2026-04-24 19:20:27,claude-sonnet-4-6,4,545,63,279828,
2026-04-24 19:20:33,claude-sonnet-4-6,5,245,163,281964,
2026-04-24 19:20:43,claude-sonnet-4-6,6,451,63,281082,
2026-04-24 19:20:52,claude-sonnet-4-6,7,202,181,283449,
2026-04-24 19:20:58,claude-sonnet-4-6,4,227,63,282330,
2026-04-24 19:21:06,claude-sonnet-4-6,6,357,405,288426,
2026-04-24 19:21:11,claude-sonnet-4-6,4,478,62,284604,
2026-04-24 19:21:26,claude-sonnet-4-6,13,235,246,287979,
2026-04-24 19:21:33,claude-sonnet-4-6,5,663,63,286518,
2026-04-24 19:21:39,claude-sonnet-4-6,4,238,163,288663,
2026-04-24 19:21:47,claude-sonnet-4-6,4,252,63,287781,
2026-04-24 19:21:53,claude-sonnet-4-6,5,258,181,290145,
2026-04-24 19:22:00,claude-sonnet-4-6,5,475,63,289026,
2026-04-24 19:22:09,claude-sonnet-4-6,6,349,401,295062,
2026-04-24 19:22:15,claude-sonnet-4-6,4,466,62,291288,
2026-04-24 19:22:22,claude-sonnet-4-6,6,229,246,294681,
2026-04-24 19:22:31,claude-sonnet-4-6,7,326,63,292803,
2026-04-24 19:22:38,claude-sonnet-4-6,5,218,163,294939,
2026-04-24 19:23:10,claude-sonnet-4-6,29,563,63,294474,
2026-04-24 19:23:18,claude-sonnet-4-6,5,250,181,296841,
2026-04-24 19:23:23,claude-sonnet-4-6,4,275,63,295722,
2026-04-24 19:23:30,claude-sonnet-4-6,6,341,405,301818,
2026-04-24 19:23:37,claude-sonnet-4-6,6,462,62,297996,
2026-04-24 19:23:46,claude-sonnet-4-6,7,219,246,301371,
2026-04-24 19:23:53,claude-sonnet-4-6,4,316,63,299493,
2026-04-24 19:23:59,claude-sonnet-4-6,5,275,163,301638,
2026-04-24 19:24:06,claude-sonnet-4-6,5,225,63,300756,
2026-04-24 19:24:12,claude-sonnet-4-6,4,231,181,303120,
2026-04-24 19:24:19,claude-sonnet-4-6,4,395,63,302418,
2026-04-24 19:24:26,claude-sonnet-4-6,5,333,401,308454,
2026-04-24 19:24:32,claude-sonnet-4-6,4,450,62,304680,
2026-04-24 19:24:39,claude-sonnet-4-6,5,277,246,308073,
2026-04-24 19:24:45,claude-sonnet-4-6,4,310,63,306195,
2026-04-24 19:24:51,claude-sonnet-4-6,5,0,0,0,（可能是上游出错）
2026-04-24 19:25:10,claude-sonnet-4-6,5,27,55,306762,
2026-04-24 19:25:17,claude-sonnet-4-6,6,1828,152,313620,
2026-04-24 19:27:45,claude-sonnet-4-6,3,208,42,312486,
2026-04-24 19:27:51,claude-sonnet-4-6,4,945,41,315258,
2026-04-24 19:28:00,claude-sonnet-4-6,8,1495,325,323856,
2026-04-24 19:28:08,claude-sonnet-4-6,6,391,113,321780,
2026-04-24 19:28:18,claude-sonnet-4-6,8,163,503,328098,
2026-04-24 19:28:25,claude-sonnet-4-6,5,581,150,324441,
2026-04-24 19:28:32,claude-sonnet-4-6,4,198,157,325125,
2026-04-24 19:28:40,claude-sonnet-4-6,5,206,85,324645,
2026-04-24 19:31:52,claude-sonnet-4-6,5,358,62,325332,
2026-04-24 19:31:59,claude-sonnet-4-6,6,330,135,327303,
2026-04-24 19:32:08,claude-sonnet-4-6,8,543,480,334077,
2026-04-24 19:32:19,claude-sonnet-4-6,7,553,211,331608,
2026-04-24 19:32:33,claude-sonnet-4-6,11,295,1032,344685,
2026-04-24 19:32:49,claude-sonnet-4-6,13,1107,312,337089,
2026-04-24 19:32:57,claude-sonnet-4-6,6,374,141,335589,
2026-04-24 19:40:55,claude-sonnet-4-6,4,219,63,334914,
2026-04-24 19:41:02,claude-sonnet-4-6,5,581,63,336576,
2026-04-24 19:41:10,claude-sonnet-4-6,6,203,283,340470,
2026-04-24 19:41:19,claude-sonnet-4-6,6,529,202,340233,
2026-04-24 19:41:26,claude-sonnet-4-6,5,262,96,339378,
2026-04-24 19:44:25,claude-sonnet-4-6,5,126,123,340143,
2026-04-24 19:45:01,claude-sonnet-4-6,35,4339,4655,420954,
2026-04-24 19:45:21,claude-sonnet-4-6,18,4882,2232,399102,
2026-04-24 19:45:29,claude-sonnet-4-6,5,2286,95,373851,
2026-04-24 21:38:34,claude-haiku-4-5-20251001,1,2,11,756,
2026-04-24 21:38:35,claude-haiku-4-5-20251001,2,674,153,8645,
2026-04-24 21:38:36,claude-sonnet-4-6,3,25200,63,76545,
2026-04-24 21:38:51,claude-sonnet-4-6,1,145,41,76506,
2026-04-24 21:38:55,claude-sonnet-4-6,3,525,156,79755,
2026-04-24 21:39:00,claude-sonnet-4-6,4,809,353,85098,
2026-04-24 21:39:06,claude-sonnet-4-6,5,6087,402,103971,
2026-04-24 21:39:17,claude-sonnet-4-6,10,5839,1204,133497,
2026-04-24 21:39:22,claude-sonnet-4-6,3,1259,220,122469,
